metric,value,model,date,train_n
Accuracy,0.9864158829676071,"svm
baseline",2020-03-27,2234
Kappa,0.9663543061133422,"svm
baseline",2020-03-27,2234
AccuracyLower,0.9768827647227681,"svm
baseline",2020-03-27,2234
AccuracyUpper,0.9927477372152439,"svm
baseline",2020-03-27,2234
AccuracyNull,0.7147335423197492,"svm
baseline",2020-03-27,2234
AccuracyPValue,1.470830950222544e-116,"svm
baseline",2020-03-27,2234
McnemarPValue,0.026500280602491818,"svm
baseline",2020-03-27,2234
Sensitivity,0.9970760233918129,"svm
baseline",2020-03-27,2234
Specificity,0.9597069597069597,"svm
baseline",2020-03-27,2234
Pos Pred Value,0.9841269841269842,"svm
baseline",2020-03-27,2234
Neg Pred Value,0.9924242424242424,"svm
baseline",2020-03-27,2234
Precision,0.9841269841269841,"svm
baseline",2020-03-27,2234
Recall,0.9970760233918129,"svm
baseline",2020-03-27,2234
F1,0.990559186637618,"svm
baseline",2020-03-27,2234
Prevalence,0.7147335423197492,"svm
baseline",2020-03-27,2234
Detection Rate,0.7126436781609196,"svm
baseline",2020-03-27,2234
Detection Prevalence,0.7241379310344828,"svm
baseline",2020-03-27,2234
Balanced Accuracy,0.9783914915493863,"svm
baseline",2020-03-27,2234
Accuracy,0.3500522466039707,"nb
baseline",2020-03-27,2234
Kappa,0.05008617387973949,"nb
baseline",2020-03-27,2234
AccuracyLower,0.31981039602685,"nb
baseline",2020-03-27,2234
AccuracyUpper,0.3812202956480555,"nb
baseline",2020-03-27,2234
AccuracyNull,0.7147335423197492,"nb
baseline",2020-03-27,2234
AccuracyPValue,1,"nb
baseline",2020-03-27,2234
McnemarPValue,2.928329145210189e-134,"nb
baseline",2020-03-27,2234
Sensitivity,0.09502923976608187,"nb
baseline",2020-03-27,2234
Specificity,0.989010989010989,"nb
baseline",2020-03-27,2234
Pos Pred Value,0.9558823529411766,"nb
baseline",2020-03-27,2234
Neg Pred Value,0.3037120359955006,"nb
baseline",2020-03-27,2234
Precision,0.9558823529411765,"nb
baseline",2020-03-27,2234
Recall,0.09502923976608187,"nb
baseline",2020-03-27,2234
F1,0.1728723404255319,"nb
baseline",2020-03-27,2234
Prevalence,0.7147335423197492,"nb
baseline",2020-03-27,2234
Detection Rate,0.06792058516196448,"nb
baseline",2020-03-27,2234
Detection Prevalence,0.07105538140020899,"nb
baseline",2020-03-27,2234
Balanced Accuracy,0.5420201143885355,"nb
baseline",2020-03-27,2234
Accuracy,0.987460815047022,"logitboost
baseline",2020-03-27,2234
Kappa,0.9688385269121814,"logitboost
baseline",2020-03-27,2234
AccuracyLower,0.9781991002261249,"logitboost
baseline",2020-03-27,2234
AccuracyUpper,0.9935044925149893,"logitboost
baseline",2020-03-27,2234
AccuracyNull,0.7147335423197492,"logitboost
baseline",2020-03-27,2234
AccuracyPValue,5.055514836146544e-118,"logitboost
baseline",2020-03-27,2234
McnemarPValue,0.0014961642897455521,"logitboost
baseline",2020-03-27,2234
Sensitivity,1,"logitboost
baseline",2020-03-27,2234
Specificity,0.9560439560439561,"logitboost
baseline",2020-03-27,2234
Pos Pred Value,0.9827586206896552,"logitboost
baseline",2020-03-27,2234
Neg Pred Value,1,"logitboost
baseline",2020-03-27,2234
Precision,0.9827586206896551,"logitboost
baseline",2020-03-27,2234
Recall,1,"logitboost
baseline",2020-03-27,2234
F1,0.9913043478260869,"logitboost
baseline",2020-03-27,2234
Prevalence,0.7147335423197492,"logitboost
baseline",2020-03-27,2234
Detection Rate,0.7147335423197492,"logitboost
baseline",2020-03-27,2234
Detection Prevalence,0.7272727272727273,"logitboost
baseline",2020-03-27,2234
Balanced Accuracy,0.9780219780219781,"logitboost
baseline",2020-03-27,2234
Accuracy,0.9947753396029259,"random forests
baseline",2020-03-27,2234
Kappa,0.9871166288377504,"random forests
baseline",2020-03-27,2234
AccuracyLower,0.9878498156433079,"random forests
baseline",2020-03-27,2234
AccuracyUpper,0.9983014560441864,"random forests
baseline",2020-03-27,2234
AccuracyNull,0.7147335423197492,"random forests
baseline",2020-03-27,2234
AccuracyPValue,1.7703626793370812e-129,"random forests
baseline",2020-03-27,2234
McnemarPValue,0.07363827012030277,"random forests
baseline",2020-03-27,2234
Sensitivity,1,"random forests
baseline",2020-03-27,2234
Specificity,0.9816849816849816,"random forests
baseline",2020-03-27,2234
Pos Pred Value,0.9927431059506531,"random forests
baseline",2020-03-27,2234
Neg Pred Value,1,"random forests
baseline",2020-03-27,2234
Precision,0.9927431059506531,"random forests
baseline",2020-03-27,2234
Recall,1,"random forests
baseline",2020-03-27,2234
F1,0.9963583394027676,"random forests
baseline",2020-03-27,2234
Prevalence,0.7147335423197492,"random forests
baseline",2020-03-27,2234
Detection Rate,0.7147335423197492,"random forests
baseline",2020-03-27,2234
Detection Prevalence,0.7199582027168234,"random forests
baseline",2020-03-27,2234
Balanced Accuracy,0.9908424908424909,"random forests
baseline",2020-03-27,2234
Accuracy,0.9663512092534174,"fastText
baseline",2020-03-27,2234
Kappa,0.9151598280447619,"fastText
baseline",2020-03-27,2234
AccuracyLower,0.95282811136202,"fastText
baseline",2020-03-27,2234
AccuracyUpper,0.976872649243181,"fastText
baseline",2020-03-27,2234
AccuracyNull,0.7160883280757098,"fastText
baseline",2020-03-27,2234
AccuracyPValue,8.099624485736054e-92,"fastText
baseline",2020-03-27,2234
McnemarPValue,2.0537573614121753e-4,"fastText
baseline",2020-03-27,2234
Sensitivity,0.9926578560939795,"fastText
baseline",2020-03-27,2234
Specificity,0.9,"fastText
baseline",2020-03-27,2234
Pos Pred Value,0.9615931721194878,"fastText
baseline",2020-03-27,2234
Neg Pred Value,0.9798387096774195,"fastText
baseline",2020-03-27,2234
Precision,0.9615931721194879,"fastText
baseline",2020-03-27,2234
Recall,0.9926578560939795,"fastText
baseline",2020-03-27,2234
F1,0.976878612716763,"fastText
baseline",2020-03-27,2234
Prevalence,0.7160883280757098,"fastText
baseline",2020-03-27,2234
Detection Rate,0.7108307045215563,"fastText
baseline",2020-03-27,2234
Detection Prevalence,0.7392218717139852,"fastText
baseline",2020-03-27,2234
Balanced Accuracy,0.9463289280469898,"fastText
baseline",2020-03-27,2234
