metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9773550724637681,"svm
baseline",2020-03-27,2579,0.2733617681271811
Kappa,0.941879074782257,"svm
baseline",2020-03-27,2579,0.2733617681271811
AccuracyLower,0.9667521778991508,"svm
baseline",2020-03-27,2579,0.2733617681271811
AccuracyUpper,0.9852930525325834,"svm
baseline",2020-03-27,2579,0.2733617681271811
AccuracyNull,0.7273550724637681,"svm
baseline",2020-03-27,2579,0.2733617681271811
AccuracyPValue,3.211212748514598e-113,"svm
baseline",2020-03-27,2579,0.2733617681271811
McnemarPValue,0.0013742758758316974,"svm
baseline",2020-03-27,2579,0.2733617681271811
Sensitivity,0.9950186799501868,"svm
baseline",2020-03-27,2579,0.2733617681271811
Specificity,0.9302325581395349,"svm
baseline",2020-03-27,2579,0.2733617681271811
Pos Pred Value,0.974390243902439,"svm
baseline",2020-03-27,2579,0.2733617681271811
Neg Pred Value,0.9859154929577464,"svm
baseline",2020-03-27,2579,0.2733617681271811
Precision,0.974390243902439,"svm
baseline",2020-03-27,2579,0.2733617681271811
Recall,0.9950186799501868,"svm
baseline",2020-03-27,2579,0.2733617681271811
F1,0.9845964263709179,"svm
baseline",2020-03-27,2579,0.2733617681271811
Prevalence,0.7273550724637681,"svm
baseline",2020-03-27,2579,0.2733617681271811
Detection Rate,0.7237318840579711,"svm
baseline",2020-03-27,2579,0.2733617681271811
Detection Prevalence,0.7427536231884058,"svm
baseline",2020-03-27,2579,0.2733617681271811
Balanced Accuracy,0.9626256190448608,"svm
baseline",2020-03-27,2579,0.2733617681271811
Accuracy,0.32971014492753625,"nb
baseline",2020-03-27,2579,0.2733617681271811
Kappa,0.03871904512005428,"nb
baseline",2020-03-27,2579,0.2733617681271811
AccuracyLower,0.30201139875140137,"nb
baseline",2020-03-27,2579,0.2733617681271811
AccuracyUpper,0.3583197567074543,"nb
baseline",2020-03-27,2579,0.2733617681271811
AccuracyNull,0.7273550724637681,"nb
baseline",2020-03-27,2579,0.2733617681271811
AccuracyPValue,1,"nb
baseline",2020-03-27,2579,0.2733617681271811
McnemarPValue,3.3573780210063337e-158,"nb
baseline",2020-03-27,2579,0.2733617681271811
Sensitivity,0.08468244084682441,"nb
baseline",2020-03-27,2579,0.2733617681271811
Specificity,0.9833887043189369,"nb
baseline",2020-03-27,2579,0.2733617681271811
Pos Pred Value,0.9315068493150686,"nb
baseline",2020-03-27,2579,0.2733617681271811
Neg Pred Value,0.28709990300678956,"nb
baseline",2020-03-27,2579,0.2733617681271811
Precision,0.9315068493150684,"nb
baseline",2020-03-27,2579,0.2733617681271811
Recall,0.08468244084682441,"nb
baseline",2020-03-27,2579,0.2733617681271811
F1,0.1552511415525114,"nb
baseline",2020-03-27,2579,0.2733617681271811
Prevalence,0.7273550724637681,"nb
baseline",2020-03-27,2579,0.2733617681271811
Detection Rate,0.06159420289855073,"nb
baseline",2020-03-27,2579,0.2733617681271811
Detection Prevalence,0.0661231884057971,"nb
baseline",2020-03-27,2579,0.2733617681271811
Balanced Accuracy,0.5340355725828807,"nb
baseline",2020-03-27,2579,0.2733617681271811
Accuracy,0.9918478260869565,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Kappa,0.9792519336462806,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
AccuracyLower,0.9845812669194777,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
AccuracyUpper,0.9962657269857033,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
AccuracyNull,0.7273550724637681,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
AccuracyPValue,2.2652671589822486e-135,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
McnemarPValue,0.007660761135179487,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Sensitivity,1,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Specificity,0.9700996677740864,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Pos Pred Value,0.9889162561576355,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Neg Pred Value,1,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Precision,0.9889162561576355,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Recall,1,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
F1,0.9944272445820433,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Prevalence,0.7273550724637681,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Detection Rate,0.7273550724637681,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Detection Prevalence,0.7355072463768116,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Balanced Accuracy,0.9850498338870433,"logitboost
baseline",2020-03-27,2579,0.2733617681271811
Accuracy,0.9873188405797102,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Kappa,0.9675551767713876,"random forests
baseline",2020-03-27,2579,0.2733617681271811
AccuracyLower,0.9788146219170915,"random forests
baseline",2020-03-27,2579,0.2733617681271811
AccuracyUpper,0.9930502227686602,"random forests
baseline",2020-03-27,2579,0.2733617681271811
AccuracyNull,0.7273550724637681,"random forests
baseline",2020-03-27,2579,0.2733617681271811
AccuracyPValue,1.102353726277609e-127,"random forests
baseline",2020-03-27,2579,0.2733617681271811
McnemarPValue,5.120045221899047e-4,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Sensitivity,1,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Specificity,0.9534883720930233,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Pos Pred Value,0.9828641370869033,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Neg Pred Value,1,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Precision,0.9828641370869033,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Recall,1,"random forests
baseline",2020-03-27,2579,0.2733617681271811
F1,0.991358024691358,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Prevalence,0.7273550724637681,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Detection Rate,0.7273550724637681,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Detection Prevalence,0.740036231884058,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Balanced Accuracy,0.9767441860465116,"random forests
baseline",2020-03-27,2579,0.2733617681271811
Accuracy,0.9600363306085377,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Kappa,0.8959607587107414,"fastText
baseline",2020-03-27,2579,0.2733617681271811
AccuracyLower,0.9467196299465759,"fastText
baseline",2020-03-27,2579,0.2733617681271811
AccuracyUpper,0.970814857102375,"fastText
baseline",2020-03-27,2579,0.2733617681271811
AccuracyNull,0.7266121707538601,"fastText
baseline",2020-03-27,2579,0.2733617681271811
AccuracyPValue,5.032585780406082e-93,"fastText
baseline",2020-03-27,2579,0.2733617681271811
McnemarPValue,2.9621669392589352e-6,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Sensitivity,0.9925,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Specificity,0.8737541528239202,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Pos Pred Value,0.954326923076923,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Neg Pred Value,0.9776951672862455,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Precision,0.9543269230769231,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Recall,0.9925,"fastText
baseline",2020-03-27,2579,0.2733617681271811
F1,0.9730392156862746,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Prevalence,0.7266121707538601,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Detection Rate,0.7211625794732062,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Detection Prevalence,0.7556766575840145,"fastText
baseline",2020-03-27,2579,0.2733617681271811
Balanced Accuracy,0.9331270764119601,"fastText
baseline",2020-03-27,2579,0.2733617681271811
