metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9805097451274363,"svm
baseline",2020-03-28,3118,0.27164849262347657
Kappa,0.9497557611964514,"svm
baseline",2020-03-28,3118,0.27164849262347657
AccuracyLower,0.9715719422356469,"svm
baseline",2020-03-28,3118,0.27164849262347657
AccuracyUpper,0.9872297929070953,"svm
baseline",2020-03-28,3118,0.27164849262347657
AccuracyNull,0.7286356821589205,"svm
baseline",2020-03-28,3118,0.27164849262347657
AccuracyPValue,1.0039565114765063e-140,"svm
baseline",2020-03-28,3118,0.27164849262347657
McnemarPValue,3.814477782713101e-5,"svm
baseline",2020-03-28,3118,0.27164849262347657
Sensitivity,0.9979423868312757,"svm
baseline",2020-03-28,3118,0.27164849262347657
Specificity,0.9337016574585635,"svm
baseline",2020-03-28,3118,0.27164849262347657
Pos Pred Value,0.9758551307847082,"svm
baseline",2020-03-28,3118,0.27164849262347657
Neg Pred Value,0.9941176470588233,"svm
baseline",2020-03-28,3118,0.27164849262347657
Precision,0.9758551307847082,"svm
baseline",2020-03-28,3118,0.27164849262347657
Recall,0.9979423868312757,"svm
baseline",2020-03-28,3118,0.27164849262347657
F1,0.9867751780264497,"svm
baseline",2020-03-28,3118,0.27164849262347657
Prevalence,0.7286356821589205,"svm
baseline",2020-03-28,3118,0.27164849262347657
Detection Rate,0.7271364317841079,"svm
baseline",2020-03-28,3118,0.27164849262347657
Detection Prevalence,0.7451274362818591,"svm
baseline",2020-03-28,3118,0.27164849262347657
Balanced Accuracy,0.9658220221449196,"svm
baseline",2020-03-28,3118,0.27164849262347657
Accuracy,0.3103448275862069,"nb
baseline",2020-03-28,3118,0.27164849262347657
Kappa,0.023168002241345877,"nb
baseline",2020-03-28,3118,0.27164849262347657
AccuracyLower,0.28558442292326075,"nb
baseline",2020-03-28,3118,0.27164849262347657
AccuracyUpper,0.3359436436136768,"nb
baseline",2020-03-28,3118,0.27164849262347657
AccuracyNull,0.7286356821589205,"nb
baseline",2020-03-28,3118,0.27164849262347657
AccuracyPValue,1,"nb
baseline",2020-03-28,3118,0.27164849262347657
McnemarPValue,1.2958293489627639e-195,"nb
baseline",2020-03-28,3118,0.27164849262347657
Sensitivity,0.060699588477366256,"nb
baseline",2020-03-28,3118,0.27164849262347657
Specificity,0.9806629834254144,"nb
baseline",2020-03-28,3118,0.27164849262347657
Pos Pred Value,0.8939393939393938,"nb
baseline",2020-03-28,3118,0.27164849262347657
Neg Pred Value,0.2799684542586751,"nb
baseline",2020-03-28,3118,0.27164849262347657
Precision,0.8939393939393939,"nb
baseline",2020-03-28,3118,0.27164849262347657
Recall,0.060699588477366256,"nb
baseline",2020-03-28,3118,0.27164849262347657
F1,0.1136801541425819,"nb
baseline",2020-03-28,3118,0.27164849262347657
Prevalence,0.7286356821589205,"nb
baseline",2020-03-28,3118,0.27164849262347657
Detection Rate,0.04422788605697151,"nb
baseline",2020-03-28,3118,0.27164849262347657
Detection Prevalence,0.049475262368815595,"nb
baseline",2020-03-28,3118,0.27164849262347657
Balanced Accuracy,0.5206812859513903,"nb
baseline",2020-03-28,3118,0.27164849262347657
Accuracy,0.9947526236881559,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Kappa,0.9866496630247991,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
AccuracyLower,0.9892184585367839,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
AccuracyUpper,0.9978877580865999,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
AccuracyNull,0.7286356821589205,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
AccuracyPValue,5.743903448944307e-169,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
McnemarPValue,0.023342202012890875,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Sensitivity,1,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Specificity,0.9806629834254144,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Pos Pred Value,0.9928498467824309,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Neg Pred Value,1,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Precision,0.992849846782431,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Recall,1,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
F1,0.9964120963608406,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Prevalence,0.7286356821589205,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Detection Rate,0.7286356821589205,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Detection Prevalence,0.7338830584707646,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Balanced Accuracy,0.9903314917127072,"logitboost
baseline",2020-03-28,3118,0.27164849262347657
Accuracy,0.9940029985007496,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Kappa,0.9847557665826747,"random forests
baseline",2020-03-28,3118,0.27164849262347657
AccuracyLower,0.9882178797239137,"random forests
baseline",2020-03-28,3118,0.27164849262347657
AccuracyUpper,0.9974074706974821,"random forests
baseline",2020-03-28,3118,0.27164849262347657
AccuracyNull,0.7286356821589205,"random forests
baseline",2020-03-28,3118,0.27164849262347657
AccuracyPValue,3.555702800107234e-167,"random forests
baseline",2020-03-28,3118,0.27164849262347657
McnemarPValue,0.07709987174354196,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Sensitivity,0.9989711934156379,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Specificity,0.9806629834254144,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Pos Pred Value,0.992842535787321,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Neg Pred Value,0.9971910112359551,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Precision,0.9928425357873211,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Recall,0.9989711934156379,"random forests
baseline",2020-03-28,3118,0.27164849262347657
F1,0.995897435897436,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Prevalence,0.7286356821589205,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Detection Rate,0.7278860569715142,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Detection Prevalence,0.7331334332833583,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Balanced Accuracy,0.9898170884205262,"random forests
baseline",2020-03-28,3118,0.27164849262347657
Accuracy,0.9675471698113207,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Kappa,0.9151057397311098,"fastText
baseline",2020-03-28,3118,0.27164849262347657
AccuracyLower,0.9565333829777125,"fastText
baseline",2020-03-28,3118,0.27164849262347657
AccuracyUpper,0.9764161998211656,"fastText
baseline",2020-03-28,3118,0.27164849262347657
AccuracyNull,0.7290566037735849,"fastText
baseline",2020-03-28,3118,0.27164849262347657
AccuracyPValue,7.755087447926775e-120,"fastText
baseline",2020-03-28,3118,0.27164849262347657
McnemarPValue,4.020508809874522e-8,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Sensitivity,0.9968944099378882,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Specificity,0.8885793871866295,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Pos Pred Value,0.9601196410767697,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Neg Pred Value,0.9906832298136647,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Precision,0.9601196410767697,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Recall,0.9968944099378882,"fastText
baseline",2020-03-28,3118,0.27164849262347657
F1,0.9781615033011682,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Prevalence,0.7290566037735849,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Detection Rate,0.7267924528301887,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Detection Prevalence,0.7569811320754717,"fastText
baseline",2020-03-28,3118,0.27164849262347657
Balanced Accuracy,0.9427368985622588,"fastText
baseline",2020-03-28,3118,0.27164849262347657
