metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9715043074884029,"svm
baseline",2020-03-28,3527,0.3561100085058123
Kappa,0.9371361473692165,"svm
baseline",2020-03-28,3527,0.3561100085058123
AccuracyLower,0.9618069316413348,"svm
baseline",2020-03-28,3527,0.3561100085058123
AccuracyUpper,0.9793024379612363,"svm
baseline",2020-03-28,3527,0.3561100085058123
AccuracyNull,0.6441351888667992,"svm
baseline",2020-03-28,3527,0.3561100085058123
AccuracyPValue,2.1347582013451014e-216,"svm
baseline",2020-03-28,3527,0.3561100085058123
McnemarPValue,7.340738534732006e-5,"svm
baseline",2020-03-28,3527,0.3561100085058123
Sensitivity,0.9917695473251029,"svm
baseline",2020-03-28,3527,0.3561100085058123
Specificity,0.9348230912476723,"svm
baseline",2020-03-28,3527,0.3561100085058123
Pos Pred Value,0.964964964964965,"svm
baseline",2020-03-28,3527,0.3561100085058123
Neg Pred Value,0.9843137254901962,"svm
baseline",2020-03-28,3527,0.3561100085058123
Precision,0.964964964964965,"svm
baseline",2020-03-28,3527,0.3561100085058123
Recall,0.9917695473251029,"svm
baseline",2020-03-28,3527,0.3561100085058123
F1,0.97818366311517,"svm
baseline",2020-03-28,3527,0.3561100085058123
Prevalence,0.6441351888667992,"svm
baseline",2020-03-28,3527,0.3561100085058123
Detection Rate,0.6388336646785951,"svm
baseline",2020-03-28,3527,0.3561100085058123
Detection Prevalence,0.6620278330019881,"svm
baseline",2020-03-28,3527,0.3561100085058123
Balanced Accuracy,0.9632963192863876,"svm
baseline",2020-03-28,3527,0.3561100085058123
Accuracy,0.4095427435387674,"nb
baseline",2020-03-28,3527,0.3561100085058123
Kappa,0.028290125558029625,"nb
baseline",2020-03-28,3527,0.3561100085058123
AccuracyLower,0.38459677233132517,"nb
baseline",2020-03-28,3527,0.3561100085058123
AccuracyUpper,0.43484148145389057,"nb
baseline",2020-03-28,3527,0.3561100085058123
AccuracyNull,0.6441351888667992,"nb
baseline",2020-03-28,3527,0.3561100085058123
AccuracyPValue,1,"nb
baseline",2020-03-28,3527,0.3561100085058123
McnemarPValue,1.6213356792032898e-150,"nb
baseline",2020-03-28,3527,0.3561100085058123
Sensitivity,0.13991769547325103,"nb
baseline",2020-03-28,3527,0.3561100085058123
Specificity,0.8975791433891993,"nb
baseline",2020-03-28,3527,0.3561100085058123
Pos Pred Value,0.712041884816754,"nb
baseline",2020-03-28,3527,0.3561100085058123
Neg Pred Value,0.36570561456752654,"nb
baseline",2020-03-28,3527,0.3561100085058123
Precision,0.7120418848167539,"nb
baseline",2020-03-28,3527,0.3561100085058123
Recall,0.13991769547325103,"nb
baseline",2020-03-28,3527,0.3561100085058123
F1,0.23387790197764402,"nb
baseline",2020-03-28,3527,0.3561100085058123
Prevalence,0.6441351888667992,"nb
baseline",2020-03-28,3527,0.3561100085058123
Detection Rate,0.09012591119946985,"nb
baseline",2020-03-28,3527,0.3561100085058123
Detection Prevalence,0.1265738899933731,"nb
baseline",2020-03-28,3527,0.3561100085058123
Balanced Accuracy,0.5187484194312252,"nb
baseline",2020-03-28,3527,0.3561100085058123
Accuracy,0.9867461895294898,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Kappa,0.970847001819889,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
AccuracyLower,0.9796044674315543,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
AccuracyUpper,0.991885940779914,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
AccuracyNull,0.6441351888667992,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
AccuracyPValue,5.443776262162362e-249,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
McnemarPValue,2.1517864378120194e-5,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Sensitivity,1,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Specificity,0.962756052141527,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Pos Pred Value,0.9798387096774195,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Neg Pred Value,1,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Precision,0.9798387096774194,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Recall,1,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
F1,0.9898167006109979,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Prevalence,0.6441351888667992,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Detection Rate,0.6441351888667992,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Detection Prevalence,0.6573889993373094,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Balanced Accuracy,0.9813780260707635,"logitboost
baseline",2020-03-28,3527,0.3561100085058123
Accuracy,0.9913850231941683,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Kappa,0.9811219437555755,"random forests
baseline",2020-03-28,3527,0.3561100085058123
AccuracyLower,0.9853131822958124,"random forests
baseline",2020-03-28,3527,0.3561100085058123
AccuracyUpper,0.9954051433297672,"random forests
baseline",2020-03-28,3527,0.3561100085058123
AccuracyNull,0.6441351888667992,"random forests
baseline",2020-03-28,3527,0.3561100085058123
AccuracyPValue,8.116640466754065e-261,"random forests
baseline",2020-03-28,3527,0.3561100085058123
McnemarPValue,0.005545667315244053,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Sensitivity,0.9989711934156379,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Specificity,0.9776536312849162,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Pos Pred Value,0.9877924720244151,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Neg Pred Value,0.9980988593155895,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Precision,0.987792472024415,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Recall,0.9989711934156379,"random forests
baseline",2020-03-28,3527,0.3561100085058123
F1,0.9933503836317136,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Prevalence,0.6441351888667992,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Detection Rate,0.6434724983432737,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Detection Prevalence,0.6514247846255798,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Balanced Accuracy,0.9883124123502771,"random forests
baseline",2020-03-28,3527,0.3561100085058123
Accuracy,0.957922419460881,"fastText
baseline",2020-03-28,3527,0.3561100085058123
Kappa,0.9077542387336676,"fastText
baseline",2020-03-28,3527,0.3561100085058123
AccuracyLower,0.9465829817740197,"fastText
baseline",2020-03-28,3527,0.3561100085058123
AccuracyUpper,0.9674469968865794,"fastText
baseline",2020-03-28,3527,0.3561100085058123
AccuracyNull,0.6331360946745562,"fastText
baseline",2020-03-28,3527,0.3561100085058123
AccuracyPValue,8.180087193246908e-204,"fastText
baseline",2020-03-28,3527,0.3561100085058123
McnemarPValue,4.228433484881694e-9,"fastText
baseline",2020-03-28,3527,0.3561100085058123
Sensitivity,0.9916926272066459,"fastText
baseline",2020-03-28,3527,0.3561100085058123
Specificity,0.899641577060932,"fastText
baseline",2020-03-28,3527,0.3561100085058123
Pos Pred Value,0.9446092977250248,"fastText
baseline",2020-03-28,3527,0.3561100085058123
Neg Pred Value,0.9843137254901959,"fastText
baseline",2020-03-28,3527,0.3561100085058123
Precision,0.9446092977250248,"fastText
baseline",2020-03-28,3527,0.3561100085058123
Recall,0.9916926272066459,"fastText
baseline",2020-03-28,3527,0.3561100085058123
F1,0.9675785207700102,"fastText
baseline",2020-03-28,3527,0.3561100085058123
