metric,value,model,date,train_n,is_covid_class_prop
Accuracy,0.9774897680763983,"svm
baseline",2020-03-28,3424,0.3367406542056075
Kappa,0.9490404933101031,"svm
baseline",2020-03-28,3424,0.3367406542056075
AccuracyLower,0.9685314805291106,"svm
baseline",2020-03-28,3424,0.3367406542056075
AccuracyUpper,0.9844555312501763,"svm
baseline",2020-03-28,3424,0.3367406542056075
AccuracyNull,0.6630286493860846,"svm
baseline",2020-03-28,3424,0.3367406542056075
AccuracyPValue,1.1819239934700775e-204,"svm
baseline",2020-03-28,3424,0.3367406542056075
McnemarPValue,1.2829517819532132e-4,"svm
baseline",2020-03-28,3424,0.3367406542056075
Sensitivity,0.9948559670781894,"svm
baseline",2020-03-28,3424,0.3367406542056075
Specificity,0.9433198380566802,"svm
baseline",2020-03-28,3424,0.3367406542056075
Pos Pred Value,0.9718592964824121,"svm
baseline",2020-03-28,3424,0.3367406542056075
Neg Pred Value,0.9893842887473461,"svm
baseline",2020-03-28,3424,0.3367406542056075
Precision,0.9718592964824121,"svm
baseline",2020-03-28,3424,0.3367406542056075
Recall,0.9948559670781894,"svm
baseline",2020-03-28,3424,0.3367406542056075
F1,0.9832231825114388,"svm
baseline",2020-03-28,3424,0.3367406542056075
Prevalence,0.6630286493860846,"svm
baseline",2020-03-28,3424,0.3367406542056075
Detection Rate,0.6596180081855388,"svm
baseline",2020-03-28,3424,0.3367406542056075
Detection Prevalence,0.6787175989085948,"svm
baseline",2020-03-28,3424,0.3367406542056075
Balanced Accuracy,0.9690879025674348,"svm
baseline",2020-03-28,3424,0.3367406542056075
Accuracy,0.3908594815825375,"nb
baseline",2020-03-28,3424,0.3367406542056075
Kappa,0.03837288394553162,"nb
baseline",2020-03-28,3424,0.3367406542056075
AccuracyLower,0.3657807138196975,"nb
baseline",2020-03-28,3424,0.3367406542056075
AccuracyUpper,0.4163765181390068,"nb
baseline",2020-03-28,3424,0.3367406542056075
AccuracyNull,0.6630286493860846,"nb
baseline",2020-03-28,3424,0.3367406542056075
AccuracyPValue,1,"nb
baseline",2020-03-28,3424,0.3367406542056075
McnemarPValue,4.9170477602191936e-173,"nb
baseline",2020-03-28,3424,0.3367406542056075
Sensitivity,0.10905349794238683,"nb
baseline",2020-03-28,3424,0.3367406542056075
Specificity,0.9453441295546559,"nb
baseline",2020-03-28,3424,0.3367406542056075
Pos Pred Value,0.7969924812030075,"nb
baseline",2020-03-28,3424,0.3367406542056075
Neg Pred Value,0.350337584396099,"nb
baseline",2020-03-28,3424,0.3367406542056075
Precision,0.7969924812030075,"nb
baseline",2020-03-28,3424,0.3367406542056075
Recall,0.10905349794238683,"nb
baseline",2020-03-28,3424,0.3367406542056075
F1,0.19185520361990951,"nb
baseline",2020-03-28,3424,0.3367406542056075
Prevalence,0.6630286493860846,"nb
baseline",2020-03-28,3424,0.3367406542056075
Detection Rate,0.0723055934515689,"nb
baseline",2020-03-28,3424,0.3367406542056075
Detection Prevalence,0.09072305593451568,"nb
baseline",2020-03-28,3424,0.3367406542056075
Balanced Accuracy,0.5271988137485213,"nb
baseline",2020-03-28,3424,0.3367406542056075
Accuracy,0.9863574351978172,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
Kappa,0.9691620318560837,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
AccuracyLower,0.9790084685051802,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
AccuracyUpper,0.9916473881611318,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
AccuracyNull,0.6630286493860846,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
AccuracyPValue,2.39624972917372e-223,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
McnemarPValue,2.1517864378120194e-5,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
Sensitivity,1,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
Specificity,0.9595141700404858,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
Pos Pred Value,0.9798387096774193,"logitboost
baseline",2020-03-28,3424,0.3367406542056075
